Parcel(s),Building Name,Building Address,Postal Code,Full.Address,Floor Area,Property Type - Self Selected,PIM Link,Benchmark 2010 Status,2010 Reason for Exemption,Benchmark 2011 Status,2011 Reason for Exemption,Benchmark 2012 Status,2012 Reason for Exemption,Benchmark 2013 Status,2013 Reason for Exemption,Benchmark 2014 Status,2014 Reason for Exemption,Benchmark 2015 Status,2015 Reason for Exemption,Energy Audit Due Date,Energy Audit Status,2011 ENERGY STAR Score,2011 Site EUI (kBtu/ft2),2011 Source EUI (kBtu/ft2),2011 Percent Better than National Median Site EUI,2011 Percent Better than National Median Source EUI,2011 Total GHG Emissions (Metric Tons CO2e),2011 Total GHG Emissions Intensity (kgCO2e/ft2),2011 Weather Normalized Site EUI (kBtu/ft2),2011 Weather Normalized Source EUI (kBtu/ft2),2012 ENERGY STAR Score,2012 Site EUI (kBtu/ft2),2012 Source EUI (kBtu/ft2),2012 Percent Better than National Median Site EUI,2012 Percent Better than National Median Source EUI,2012 Total GHG Emissions (Metric Tons CO2e),2012 Total GHG Emissions Intensity (kgCO2e/ft2),2012 Weather Normalized Site EUI (kBtu/ft2),2012 Weather Normalized Source EUI (kBtu/sq.ft),2013 ENERGY STAR Score,2013 Site EUI (kBtu/ft2),2013 Source EUI (kBtu/ft2),2013 Percent Better than National Median Site EUI,2013 Percent Better than National Median Source EUI,2013 Total GHG Emissions (Metric Tons CO2e),2013 Total GHG Emissions Intensity (kgCO2e/ft2),2013 Weather Normalized Site EUI (kBtu/ft2),2013 Weather Normalized Source EUI (kBtu/ft2),2014 ENERGY STAR Score,2014 Site EUI (kBtu/ft2),2014 Source EUI (kBtu/ft2),2014 Percent Better than National Median Site EUI,2014 Percent Better than National Median Source EUI,2014 Total GHG Emissions (Metric Tons CO2e),2014 Total GHG Emissions Intensity (kgCO2e/ft2),2014 Weather Normalized Site EUI (kBtu/ft2),2014 Weather Normalized Source EUI (kBtu/ft2),2015 ENERGY STAR Score,2015 Site EUI (kBtu/ft2),2015 Source EUI (kBtu/ft2),2015 Percent Better than National Median Site EUI,2015 Percentage Better than National Median Source EUI,2015 Total GHG Emissions (Metric Tons CO2e),2015 Total GHG Emissions Intensity (kgCO2e/ft2),2015 Weather Normalized Site EUI (kBtu/ft2),2015 Weather Normalized Source EUI (kBtu/ft2)
3708/006,62 1ST ST,62 1ST ST,94105,"62 1ST ST
San Francisco, CA 94105
(37.790199, -122.398089)",68783,Office,http://propertymap.sfplanning.org/?&search=3708/006,Exempt,Exempt - Change of Ownership,Exempt,Exempt - Change of Ownership,Exempt,Exempt - Change of Ownership,Complied,,Complied,,Complied,,4/1/2013,Complied,,,,,,,,,,,,,,,,,,,84,32.6,68.4,-36.9,-36.9,158.2,2.3,32.6,68.4,28,57.2,132.6,27.4,27.4,276.9,4,57.2,132.6,26,79,170.2,30.2,30.2,370.2,5.4,79,170.2
0013/005,Savoy Corporation,2720 TAYLOR ST,94133,"2720 TAYLOR ST
San Francisco, CA 94133
(37.807512, -122.415665)",46962,Office,http://propertymap.sfplanning.org/?&search=0013/005,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,4/1/2013,Complied,,,,,,,,,,72,65.3,184.6,-20.5,,252.87,,64.1,183.3,45,63,167.9,5.6,5.6,222.1,4.7,63.1,168.1,38,64.1,177,13.7,13.7,229.9,4.9,65.8,178.8,37,67.1,181.6,15,15,238.4,5.1,67.1,181.6
0266/001,First Republic Bank Building,111 PINE ST,94111,"111 PINE ST
San Francisco, CA 94111
(37.792382, -122.398962)",247000,Office,http://propertymap.sfplanning.org/?&search=0266/001,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,4/1/2013,Complied,80,72.9,,-31.3,,1468.3,,72.1,,85,70.7,198.5,-36.3,,1433.72,,70.1,197.8,89,63.7,171.2,-42.8,-42.8,1285.2,5.1,63.9,171.4,92,58.2,160.4,-46.3,-46.3,1096.9,4.4,60.1,162.4,92,58,159.6,-46.4,-46.4,1092.6,4.4,59.1,160.7
0853/006,Jews for Jesus,60 HAIGHT ST,94102,"60 HAIGHT ST
San Francisco, CA 94102
(37.773037, -122.423202)",11209,Office,http://propertymap.sfplanning.org/?&search=0853/006,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Complied,,Complied,,Complied,,Complied,,4/1/2013,Complied,,,,,,,,,,,,,,,,,,,57,69.9,182.7,-7.9,-7.9,47.4,5.2,66.9,179.6,62,60.3,168.6,-12,-12,42.3,4.6,63.8,172.3,68,58.1,157.4,-18.7,-18.7,40.1,4.4,59.5,158.9
0611/001A,SF SPCA Pacific Heights,2343 Fillmore Street,94115,"2343 Fillmore Street
San Francisco, CA 94115
(37.79134, -122.434341)",18911,Veterinary Office,http://propertymap.sfplanning.org/?&search=0611/001A,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - Change of Ownership,Exempt,Exempt - Change of Ownership,Exempt,Exempt - Change of Ownership,Complied,,4/1/2014,Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.7,257.6,41,41,146.1,7.7,111.4,260.4
3785/003,690 5TH ST,690 5TH ST,94107,"690 5TH ST
San Francisco, CA 94107
(37.775564, -122.397509)",13256,Office,http://propertymap.sfplanning.org/?&search=3785/003,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Exempt,,Exempt,,Exempt,,Complied,,4/1/2013,Complied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,49.9,156.3,-24.3,-24.3,53.9,4.1,47.7,149.5
0173/001,600 Battery Street,600 BATTERY ST,94111,"600 BATTERY ST
San Francisco, CA 94111
(37.797366, -122.400819)",112208,Office,http://propertymap.sfplanning.org/?&search=0173/001,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,4/1/2014,Exempt - ENERGY STAR,82,64.5,,-34.3,,570.57,,61.9,,82,59.4,164.9,-34.5,,543.94,,58.9,165.3,82,64.1,153.3,-35,-35,513.3,4.6,64.4,153.6,87,49.1,137.2,-40.7,-40.7,423.2,3.8,49.1,137.2,89,48,132.4,-43.5,-43.5,411.1,3.7,47.9,131.1
0285/005,400 Sutter,400 SUTTER ST,94108,"400 SUTTER ST
San Francisco, CA 94108
(37.789394, -122.407197)",22830,Retail Store,http://propertymap.sfplanning.org/?&search=0285/005,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Complied,,Complied,,Complied,,Complied,,4/1/2013,Complied,,,,,,,,,,,,,,,,,,,,24,65.8,-42.6,-42.5,44.6,2,24,65.8,,24.3,70.1,-38.7,-38.7,43.4,1.9,24.3,70.1,,35.7,88.8,-22.4,-22.4,59.3,2.6,36.5,89.7
3730/119,240 7TH ST,240 7TH ST,94103,"240 7TH ST
San Francisco, CA 94103
(37.777359, -122.408628)",11203,,http://propertymap.sfplanning.org/?&search=3730/119,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,4/1/2013,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0018/004,"2300 Stockton Street, LLC",2340 STOCKTON ST,94133,"2340 STOCKTON ST
San Francisco, CA 94133
(37.807398, -122.410602)",64530,College/University,http://propertymap.sfplanning.org/?&search=0018/004,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,11/15/2012,Complied,,118.3,,-3.4,,362.09,,117.1,,,109.8,221.9,5.6,,338.35,,106.6,218.5,,62.5,88.6,-66.3,-66.3,164.8,3.7,62.8,88.9,,33.4,56.8,-78.4,-78.4,92.1,2.1,37.5,61.1,,82.8,165.9,-36.8,-36.8,243.6,5.5,87.7,171
0686/034,Soko Hardware,1672 POST ST,94115,"1672 POST ST
San Francisco, CA 94115
(37.785673, -122.429251)",18000,Retail Store,http://propertymap.sfplanning.org/?&search=0686/034,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Complied,,Complied,,Complied,,Complied,,4/1/2013,Complied,,,,,,,,,,,,,,,,,,,,21.4,65.1,-47.1,-47.1,30.9,1.7,21.2,64.9,,21.2,66.1,-46.3,-46.3,31,1.7,20.6,64.1,,21.7,67.7,-45,-45,31.7,1.8,21.4,66.7
0165/022,717 BATTERY ST,717 BATTERY ST,94111,"717 BATTERY ST
San Francisco, CA 94111
(37.79793, -122.400928)",32667,,http://propertymap.sfplanning.org/?&search=0165/022,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Exempt,,Exempt,Exempt - New Construction,Exempt,Exempt - New Construction,Exempt,Exempt - New Construction,4/1/2021,Upcoming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0111/001,One Union,1075 FRONT ST,94111,"1075 FRONT ST
San Francisco, CA 94111
(37.801295, -122.400395)",39992,Office,http://propertymap.sfplanning.org/?&search=0111/001,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Complied,,Complied,,Complied,,Complied,,4/1/2014,Complied,,,,,,,,,,81,41.7,130.8,-30.2,-30.3,100.6,3.7,42.1,132.3,62,53.6,164.2,-11.7,-11.6,127.7,4.6,53.6,164.2,15,85.9,264.6,46,46,190.7,6.9,86.6,265.4,19,82,255.7,38.9,38.9,183.1,6.7,80.6,251.6
3986/014,Robert Mizono Studios,150 MISSISSIPPI ST,94107,"150 MISSISSIPPI ST
San Francisco, CA 94107
(37.764437, -122.394757)",12300,Non-Refrigerated Warehouse,http://propertymap.sfplanning.org/?&search=3986/014,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Complied,,Complied,,Complied,,Complied,,4/1/2013,Complied,,,,,,,,,,,,,,,,,,,20,56,140.7,57.7,58.1,53.3,4.3,56.3,140.8,19,54.3,133.5,60.2,60.2,48.3,3.9,61.1,140.5,9,72.3,172.6,98.2,98.2,63.4,5.2,76.6,177.1
3820/003,Montgomery Campus,450 IRWIN ST,94107,"450 IRWIN ST
San Francisco, CA 94107
(37.767103, -122.399159)",149000,,http://propertymap.sfplanning.org/?&search=3820/003,Complied,,Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,11/15/2012,Did Not Comply,,68.4,,-31.1,,778.64,,68.4,,,58.7,146.6,-44.2,,675,,59.5,147.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
3764/063,525 HARRISON ST,525 HARRISON ST,94105,"525 HARRISON ST
San Francisco, CA 94105
(37.785623, -122.393506)",16000,Bar/Nightclub,http://propertymap.sfplanning.org/?&search=3764/063,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Complied,,Complied,,Complied,,4/1/2014,Did Not Comply,,,,,,,,,,,,,,,,,,,,16.3,48.5,-43,-43,20.7,1.3,16.3,48.5,,16.2,48.4,-43.1,-43.1,20.6,1.3,16.2,48.4,,17.7,52.1,-38.8,-38.8,22.3,1.4,17.7,52.1
3785/004,424 TOWNSEND ST,424 TOWNSEND ST,94107,"424 TOWNSEND ST
San Francisco, CA 94107
(37.774788, -122.397928)",13714,Distribution Center,http://propertymap.sfplanning.org/?&search=3785/004,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Complied,,Complied,,Complied,,4/1/2014,Did Not Comply,,,,,,,,,,,,,,,,,,,52,17.6,33.1,-3.2,-3.2,15.6,1.1,17.7,33.1,60,12.4,28.5,-15.3,-15.3,11.9,0.9,12.4,28.5,55,17.1,31.5,-7.2,-7.2,15,1.1,20.8,35.3
3794/023,Byer California - 128 King St.,128 KING ST,94107,"128 KING ST
San Francisco, CA 94107
(37.77928, -122.390533)",46500,Office,http://propertymap.sfplanning.org/?&search=3794/023,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,4/1/2014,Complied,,,,,,,,,,,261.4,497.1,284.4,,817.22,,262.1,499.7,,242.5,493.5,300.8,300.8,750,16.1,242.3,493,,241.9,483.3,292.5,292.5,742.4,16,239.8,476.8,,242.6,468.2,280.3,280.3,734.3,15.8,240.8,462.4
0056/C002,LPF 1725 Montgomery,1701 MONTGOMERY ST,94133,"1701 MONTGOMERY ST
San Francisco, CA 94133
(37.805072, -122.405256)",42989,Office,http://propertymap.sfplanning.org/?&search=0056/C002,Violation - Insufficient Data,,Complied,,Complied,,Violation - Insufficient Data,,Complied,,Complied,,4/1/2013,Complied,,,,,,,,,,100,16.1,50.5,-76.6,,61.77,,14.6,46.1,,,,,,,,,,96,26,80.3,-56.8,-56.8,90.3,2.1,26,80.3,90,32.4,100.7,-47.7,-47.7,112.9,2.6,32.5,100.8
3738/011,301 Howard,301 HOWARD ST,94105,"301 HOWARD ST
San Francisco, CA 94105
(37.789763, -122.394463)",342355,,http://propertymap.sfplanning.org/?&search=3738/011,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - Change of Ownership,4/1/2013,Exempt - ENERGY STAR,85,47.4,,-38.8,,1258.71,,47.4,,86,57.4,140.8,-39.5,,1499.11,,56.6,140.8,82,60.8,148.2,-34.5,-34.5,1585.7,4.6,60.9,148.3,85,60.2,149.9,-37.7,-37.7,1498.4,4.4,61.8,151.6,,,,,,,,,
5596/013,390 BAY SHORE BLVD,390 BAY SHORE BLVD,94110,"390 BAY SHORE BLVD
San Francisco, CA 94110
(37.741176, -122.406687)",12700,Fitness Center/Health Club/Gym,http://propertymap.sfplanning.org/?&search=5596/013,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Violation - Did Not Report,,Complied,,Complied,,4/1/2013,Complied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.4,20.8,-78.5,-78.5,5.4,0.4,,,,9.6,20.4,-79,-79,8.3,0.7,11.9,23.2
3704/078,995 MARKET ST,995 MARKET ST,94103,"995 MARKET ST
San Francisco, CA 94103
(37.782445, -122.410034)",94000,,http://propertymap.sfplanning.org/?&search=3704/078,Exempt,,Exempt,,Exempt,,Exempt,Exempt - Change of Ownership,Complied,,Exempt,Exempt - Change of Ownership,4/1/2015,Complied,,,,,,,,,,,,,,,,,,,,,,,,79.3,,,,100,12.3,36.4,-81,-81,91.6,1,12.3,36.4,,,,,,,,,
0192/041,Chinese Hospital,845 JACKSON ST,94108,"845 JACKSON ST
San Francisco, CA 94108
(37.795696, -122.409245)",43120,Hospital (General Medical & Surgical),http://propertymap.sfplanning.org/?&search=0192/041,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,4/1/2014,Complied,,,,,,,,,,17,376.1,722.3,21.2,,1096,,377.9,727.8,29,302.8,669.7,12,12,945.7,21.9,299.3,658.9,4,399.5,850.5,42,42,1167.7,27.1,399.5,850.5,7,376.2,801.5,33.7,33.7,1100,25.5,376.4,802.2
3932/017,208 Utah,208 Utah Street,94103,"208 Utah Street
San Francisco, CA 94103
(37.766934, -122.406648)",76620,Office,http://propertymap.sfplanning.org/?&search=3932/017,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,4/1/2014,Complied,99,30.2,,-65.1,,181.75,,30.2,,94,27.9,83.7,-52.3,,182.2,,27.6,83.5,96,30.7,86.1,-57,-57,193.7,2.5,30.7,86.1,77,73,198.3,-29.2,-29.2,423.8,5.5,73,198.3,79,64.8,193.4,-31.5,-31.5,394.4,5.1,64,190.9
0287/011,256 Sutter Street,256 SUTTER ST,94108,"256 SUTTER ST
San Francisco, CA 94108
(37.789687, -122.404875)",13608,"Personal Services (Health/Beauty, Dry Cleaning, etc.)",http://propertymap.sfplanning.org/?&search=0287/011,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Complied,,Complied,,Complied,,Complied,,4/1/2014,Complied,,,,,,,,,,,,,,,,,,,,32.2,90.9,-9.6,-9.5,36.1,2.7,32.3,90.9,,35.5,102,1.6,1.6,37.6,2.8,36.1,102.6,,41.4,122.1,21.6,21.6,44.5,3.3,41.7,122.3
0262/018,160 Pine,100 BATTERY ST,94111,"100 BATTERY ST
San Francisco, CA 94111
(37.792453, -122.399813)",95289,Office,http://propertymap.sfplanning.org/?&search=0262/018,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,11/15/2012,Complied,76,48.2,,-27.6,,417.19,,48.2,,70,59.9,174.8,-20.8,,504.96,,60.1,175,65,63.4,174.1,-15.8,-15.8,473.9,5,63.3,173.9,59,67.6,181.2,-10.4,-10.4,501.9,5.3,66.8,178.9,65,64.8,172.7,-15.8,-15.8,480.5,5,64.8,172.7
3952/001,2 CONNECTICUT ST,2 CONNECTICUT ST,94107,"2 CONNECTICUT ST
San Francisco, CA 94107
(37.766143, -122.39785)",15624,,http://propertymap.sfplanning.org/?&search=3952/001,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,4/1/2013,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0708/013,1534 FILLMORE ST,1534 FILLMORE ST,94115,"1534 FILLMORE ST
San Francisco, CA 94115
(37.783835, -122.432821)",10545,,http://propertymap.sfplanning.org/?&search=0708/013,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,4/1/2014,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0313/010,Terra Verde - 26 O'Farrell,20 OFARRELL ST,94108,"20 OFARRELL ST
San Francisco, CA 94108
(37.786754, -122.405531)",40858,Office,http://propertymap.sfplanning.org/?&search=0313/010,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,4/1/2014,Complied,,,,,,,,,,,39.7,93.1,-41.6,,112.26,,39.8,93.5,96,38.5,83.1,-56.8,-56.8,112.5,2.8,38.8,83.6,,35.5,79,-46.6,-46.6,100.2,2.5,40.3,85.1,,41,85,-42.6,-42.6,112.3,2.7,43.2,87.3
1580/003A,3630 BALBOA ST,3630 BALBOA ST,94121,"3630 BALBOA ST
San Francisco, CA 94121
(37.775678, -122.498076)",11907,,http://propertymap.sfplanning.org/?&search=1580/003A,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,4/1/2013,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3794/025,160 King Street,153 TOWNSEND ST,94107,"153 TOWNSEND ST
San Francisco, CA 94107
(37.77982, -122.391555)",325369,Office,http://propertymap.sfplanning.org/?&search=3794/025,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,4/1/2013,Exempt - ENERGY STAR,83,82.3,,-31.1,,1101.49,,81.7,,80,79.8,200.8,-29.1,-29.1,1039.7,6.2,80,202.2,79,84.7,212.5,-27.8,-27.8,1038.7,6.2,84.7,212.5,73,88.5,225.2,-22.4,-22.4,1093.2,6.5,89.4,223.7,80,80.8,204.7,-28.6,-28.6,995.8,5.9,81.1,203.4
0262/020,100 Pine,100 PINE ST,94111,"100 PINE ST
San Francisco, CA 94111
(37.792382, -122.398959)",478830,Office,http://propertymap.sfplanning.org/?&search=0262/020,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,11/15/2012,Exempt - LEED EBOM,95,63.6,,-47.2,,2416.06,,63.5,,88,63.8,155.3,-41.2,,2425.74,,61,152,85,68.5,158.2,-37,-37,2276.9,5.1,68.6,158.2,,62.9,151.1,2.1,2.1,2113.5,4.8,64.2,151.1,89,57.3,142.2,-42.1,-42.1,1939.6,4.4,58,142.4
3788/041,665 Third Street,665 3RD ST,94107,"665 3RD ST
San Francisco, CA 94107
(37.779256, -122.393278)",134554,Office,http://propertymap.sfplanning.org/?&search=3788/041,Complied,,Violation - Did Not Report,,Exempt,Exempt - Tenant Turnover,Complied,,Complied,,Complied,,4/1/2013,Complied,,,,,,,,,,,,,,,,,,,58,65.3,197.6,-8.7,-8.7,702.3,5.2,65.4,197.8,69,60.1,184,-20.3,-20.3,651,4.8,61.3,185.2,66,62.6,193.3,-17.4,-17.4,680.5,5.1,62.8,193.5
3788/024,361-365 Brannan St.,361 BRANNAN ST,94107,"361 BRANNAN ST
San Francisco, CA 94107
(37.780845, -122.393352)",24500,Office,http://propertymap.sfplanning.org/?&search=3788/024,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Complied,,Complied,,Complied,,Complied,,4/1/2013,Complied,,,,,,,,,,,,,,,,,,,69,87.5,168.9,-20.5,-20.6,145.2,5.9,87.7,167.8,65,107.9,174.5,-16.2,-16.2,160.8,6.6,121.4,188.6,62,115.9,183.9,-12.9,-12.9,171.6,7,122.3,190.6
4913/018,1315 EGBERT AVE,1315 EGBERT AVE,94124,"1315 EGBERT AVE
San Francisco, CA 94124
(37.721932, -122.391344)",10000,,http://propertymap.sfplanning.org/?&search=4913/018,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,4/1/2013,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3784/088,121 - San Francisco Store,685 7TH ST,94103,"685 7TH ST
San Francisco, CA 94103
(37.772048, -122.401996)",47000,Retail Store,http://propertymap.sfplanning.org/?&search=3784/088,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,4/1/2014,Complied,,,,,,,,,,13,41.7,118.7,66.3,,169.1,,40.3,117.3,31,32.1,84.3,26.4,26.2,117,2.4,31.4,83.6,24,25.4,77.1,38.1,38.1,99.7,2,24.4,74,88,28,81,-47.4,-47.4,102.8,2.2,27.9,79.8
0196/023,Public Policy Institute of California,500 WASHINGTON ST,94111,"500 WASHINGTON ST
San Francisco, CA 94111
(37.795673, -122.402058)",115609,Office,http://propertymap.sfplanning.org/?&search=0196/023,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,4/1/2014,Exempt - LEED EBOM,87,59.5,,-40.9,,492.39,,55,,91,51.1,130.7,-47.1,,430.79,,50.4,130,90,46.9,120,-44.5,-44.5,380.5,3.5,47.2,120.3,90,43.4,115,-45.7,-45.7,357.8,3.2,46.1,117.8,92,41.6,110.1,-48.7,-48.7,342.7,3.1,43,111.6
3774/031,577 2ND ST,577 2ND ST,94107,"577 2ND ST
San Francisco, CA 94107
(37.782035, -122.392323)",30480,Office,http://propertymap.sfplanning.org/?&search=3774/031,Exempt,Exempt - SqFt Not Subject This Year,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - Tenant Turnover,Complied,,4/1/2013,Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,65.1,196.1,12,12,158.3,5.2,66,197
3735/055,240 2nd Street,240 2ND ST,94105,"240 2ND ST
San Francisco, CA 94105
(37.78624, -122.397566)",37137,Office,http://propertymap.sfplanning.org/?&search=3735/055,Exempt,Exempt - SqFt Not Subject This Year,Violation - Insufficient Data,,Complied,,Complied,,Complied,,Complied,,4/1/2013,Complied,,,,,,,,,,97,46,78.3,-51.8,-51.8,58.6,2.9,46.9,80.9,97,45,78.3,-51.2,-51.2,57.9,2.9,45.6,78.8,98,36.1,68,-56.4,-56.4,46.3,2.3,44.9,78.1,98,41,71.9,-54.7,-54.7,51.2,2.6,44.3,75.4
0288/017,381 BUSH ST,381 BUSH ST,94108,"381 BUSH ST
San Francisco, CA 94108
(37.790787, -122.4038)",15682,,http://propertymap.sfplanning.org/?&search=0288/017,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,4/1/2013,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0763/005,544 GOLDEN GATE AVE,544 GOLDEN GATE AVE,94102,"544 GOLDEN GATE AVE
San Francisco, CA 94102
(37.781154, -122.419468)",16920,Office,http://propertymap.sfplanning.org/?&search=0763/005,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Complied,,Complied,,Complied,,Complied,,4/1/2014,Pending,,,,,,,,,,,,,,,,,,,53,48.5,90.6,-4,-3.9,54.8,3.2,48.5,90.6,52,46.2,85.2,-2.7,-2.7,49.9,3,46.2,85.2,45,49.6,93.5,4.5,4.5,54.1,3.2,49.6,93.5
0135/001,945 Battery St,945 BATTERY ST,94111,"945 BATTERY ST
San Francisco, CA 94111
(37.800267, -122.401399)",66028,Office,http://propertymap.sfplanning.org/?&search=0135/001,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,4/1/2014,Complied,53,53.3,,-4.1,,319.97,,54,,59,52.1,156.1,-10.3,-10.3,294,4.5,52.1,156.1,67,46.9,140.9,-18.2,-18.2,265.3,4,46.9,141,70,50.8,152.8,-20.8,-20.8,267.5,4.1,51,153,73,48.8,147.4,-24.7,-24.7,257.4,3.9,48,145.1
0504/011,1501 LOMBARD ST,1501 LOMBARD ST,94123,"1501 LOMBARD ST
San Francisco, CA 94123
(37.801014, -122.426448)",17698,Hotel,http://propertymap.sfplanning.org/?&search=0504/011,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Complied,,Complied,,Complied,,4/1/2014,Complied,,,,,,,,,,,,,,,,,,,42,102.1,177,7,7,83.5,6.4,102.2,177,57,87.6,149.8,-6.3,-6.3,71.2,5.4,89.5,151.8,43,93.9,172.9,6,6,78.6,6,95.2,174.3
0206/014,425 Washington,425 WASHINGTON ST,94111,"425 WASHINGTON ST
San Francisco, CA 94111
(37.795813, -122.400975)",12000,,http://propertymap.sfplanning.org/?&search=0206/014,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Complied,,Complied,,Complied,,Violation - Did Not Report,,4/1/2013,Complied,,,,,,,,,,,,,,,,,,,,53.1,155.9,26.7,26.6,53.9,4.5,53.1,155.8,,53.9,162.2,31.8,31.8,51.6,4.3,53.4,158,,,,,,,,,
4170/009,1155 INDIANA ST,1155 INDIANA ST,94107,"1155 INDIANA ST
San Francisco, CA 94107
(37.755669, -122.39098)",68332,,http://propertymap.sfplanning.org/?&search=4170/009,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,11/15/2012,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0311/007,88 Kearny Street Building,88 KEARNY ST,94104,"88 KEARNY ST
San Francisco, CA 94104
(37.788749, -122.403634)",262125,Office,http://propertymap.sfplanning.org/?&search=0311/007,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,11/15/2012,Exempt - ENERGY STAR,73,67.9,,-23.9,,1299.34,,68.3,,82,56.1,158.1,-34.1,,1147.74,,55.7,157.6,83,53.1,141.1,-36,-36,1054.7,4.2,53.2,141.2,85,51.6,138.4,-37.6,-37.6,966.4,3.9,51.5,136.9,87,49.2,134.5,-40.6,-40.6,930.3,3.7,48.7,132.9
